nso,eng
"lata karete ya hao ya laesense ya ho kganna vukuzenzele unnamed bakganni ba entseng dikopo tsa dilaesense tsa ho kganna kapa ho ntjhafatsa dikarete kapa diphomete tsa seporofeshenale tsa ho kganna (prdp) pakeng tsa mphalane le tshitwe ngwahola ba kgothaletswa ho ya di lata.
","collect your driver's licence card vukuzenzele unnamed motorists who applied for a new or renewal driver’s licence card or professional driving permit (prdp) between october and december last year are being urged to collect them.
"
"ho ya ka koporasi ya bolaodi ba sephethephethe mebileng (rtmc), ke feela 42% ya dikarete tsa dilaesense tsa ho kganna tse 32 748 tse hlahisitsweng nakong ena tse latuweng.
","according to the road traffic management corporation (rtmc), only 42% of the 32 748 driver’s licence cards produced during this time have been collected.
"
"letona la dipalangwang fikile mbalula le butse ditsi tsa phano ya dilaesense tsa rtmc midrand le eco park ngwahola, e le karabelo ya tshallomorao ya dilaesense tsa ho kganna tse felletsweng ke nako ka lebaka la covid19.
","minister of transport fikile mbalula opened the rtmc licensing centres in midrand and eco park last year, in response to the backlog of expired driver’s licences due to covid19.
"
"akhaonte ya dikarete tsa dilaesense tsa ho kganna, e hatisang dilaesense, e sebetsa bosiu le motsheare ho akofisa tlhahiso mme e ntse e le motjheng wa ho fedisa tshallomorao mafelong a phuptjane.
","the driver’s licence card account, which prints the licences, is working around the clock to fasttrack production and remains on course to clear the backlog by the end of june.
"
"rtmc e re batho ba lokela ho lekola boemo ba dikopo tsa bona pele ba leba ditsing tsa diteko ba ilo di lata.
","the rtmc says people can check the status of their application before going to the testing centre to collect it.
"
"sena se ka etswa ka sms kapa ka inthanete.
","this can be done by sms or online.
"
"ho lekola ka sms boemo ba dikopo tsa bona tsa dilaesense tsa ho kganna bakeng sa bothata ba dilaesense tsa ho kganna, baikopedi ba ka romela dinomoro tsa bona tsa id ka sms ho 33214. ebe ba tla fumana e nngwe ya disms tse ka tlase mona: application received: the application was received, but has not yet been processed.
","driver’s licence sms query for a driver’s licence query, applicants can sms their id number to 33214. they will then receive one of the smses below: application received: the application was received, but has not yet been processed.
"
"production queue: the card is still being processed and manufactured.
","production queue: the card is still being processed and manufactured.
"
"produced and ready for collection: the card will be ready for collection in 21 days.
","produced and ready for collection: the card will be ready for collection in 21 days.
"
"however, due to the high number of cards being processed, the rtmc advises you to wait 35 days before going to collect.
","however, due to the high number of cards being processed, the rtmc advises you to wait 35 days before going to collect.
"
"problem card: there is a problem with the production of your card.
","problem card: there is a problem with the production of your card.
"
"please return to the testing centre.
","please return to the testing centre.
"
"ho lekola boemo ba kopo ya hao ya prdp, romela nomoro ya id ka sms ho 44220. ho lekola ka inthanete boemo ba dikopo tsa bona tsa dilaesense tsa ho kganna o ka boela wa tseba boemo ba kopo ya hao mahala ka inthanete.
","for a prdp application query, sms your id number to 44220. driver’s licence online query you can also determine the status of your application for free online.
"
"etela online.
","visit online.
"
"natis.
","natis.
"
"gov.
","gov.
"
"za.
","za.
"
"iketsetse porofaele mme o kene websaeteng.
","create a profile and log in.
"
"tobetsa boemo ba kopo ya hao websaeteng.
","click the status of your application on the dashboard.
"
"bao dilaesense tsa bona di felletsweng ke nako pakeng tsa tlhakubele 2020 le 31 phato 2021, ba tlotsweng ke letsatsi la ho qetela la ho ntjhafatsa la 5 motsheanong, ba eletswa ho iphumanela laesense ya ho kganna ya nakwana ha ba etsa kopo ya ho ntjhafatsa bakeng sa ho dula ba ntse ba imatahantse le molao.
","those whose licences expired between march 2020 and 31 august 2021, who missed the renewal deadline of 5 may, are advised to obtain a tempo rary driver’s licence when applying for their renewal to remain legally compliant.
"
"leha ditsi tsa rtmc di butswe mantaha ho isa sontaha ho tloha ka hora ya bosupa hoseng ho fihlela ka hora ya borobong bosiu, setjhaba se kgothaletswa ho nka monyetla wa mela e mekgutshwane ka bolabohlano le mafelong a beke.","while rtmc centres are open monday to sunday from 7am to 9pm, members of the public are encouraged to take advantage of shorter queues on fridays and the weekend."
